ticker,datetime,date,time,headline,neg,neu,pos,compound
AAPL,2021-01-15 16:08:00,Jan-15-21,04:08PM,Apple Considers Foldable iPhone; Minor Changes Planned for 2021 Models,0.0,1.0,0.0,0.0
AAPL,2021-01-15 15:10:00,Jan-15-21,03:10PM,Michelob Ultra Goes Greener With Aluminum in MacBooks,0.0,1.0,0.0,0.0
AAPL,2021-01-15 14:54:00,Jan-15-21,02:54PM,"Dow Jones Stocks To Buy And Watch In January 2021: Apple, Microsoft",0.0,1.0,0.0,0.0
AAPL,2021-01-15 14:54:00,Jan-15-21,02:54PM,Apple CEO Tim Cook Says Parler Suspension and Free Speech Unrelated,0.0,0.752,0.248,0.5106
AAPL,2021-01-15 14:53:00,Jan-15-21,02:53PM,Apple is extending Apple TV+ trials again,0.0,1.0,0.0,0.0
AAPL,2021-01-15 14:40:00,Jan-15-21,02:40PM,"As Cookie Crumbles In Digital Advertising, Google And Apple May Benefit",0.0,0.769,0.231,0.4588
AAPL,2021-01-15 14:01:00,Jan-15-21,02:01PM,"Wedbush: Tesla Stock Has Double-Digit Upside, But Don't Buy TSLA",0.0,1.0,0.0,0.0
AAPL,2021-01-15 13:00:00,Jan-15-21,01:00PM,Foxconn Taps Nio Co-Founder Jack Cheng To Lead New Open EV Platform,0.0,1.0,0.0,0.0
AAPL,2021-01-15 12:49:00,Jan-15-21,12:49PM,Netflix to release new movies every week in 2021,0.0,1.0,0.0,0.0
AAPL,2021-01-15 12:47:00,Jan-15-21,12:47PM,Apple Plans First iMac Desktop Redesign in Nearly a Decade,0.0,1.0,0.0,0.0
AAPL,2021-01-15 12:45:00,Jan-15-21,12:45PM,"Google Play is unsportsmanlike, U.S. states likely to argue in potential lawsuit",0.274,0.573,0.153,-0.2263
AAPL,2021-01-15 12:43:00,Jan-15-21,12:43PM,"10 best tablets that are perfect for drawing, gaming and note taking",0.0,0.559,0.441,0.836
AAPL,2021-01-15 12:43:00,Jan-15-21,12:43PM,"10 best tablets for Zoom, gaming and films",0.0,0.625,0.375,0.6369
